Name,Shortform,Price,24H change,24H volume,Market Cap
Internet Computer,ICP,$4.45,+3.42%,$24.65 M,$1.94 B
Filecoin,FIL,$4.42,+4.75%,$149.27 M,$1.9 B
Aptos,APT,$8.29,+2.70%,$150.66 M,$1.66 B
Hedera,HBAR,$0.04945,+2.93%,$24.91 M,$1.56 B
Cronos,CRO,$0.0596,+1.78%,$9.75 M,$1.56 B
Wrapped HBAR,WHBAR,$0.04914,+2.01%,"$135,540",$1.55 B
Arbitrum,ARB,$1.20,+6.37%,$361.13 M,$1.52 B
Quant,QNT,$117.59,+3.64%,$29.97 M,$1.42 B
NEAR Protocol,NEAR,$1.53,+3.21%,$66.63 M,$1.4 B
VeChain,VET,$0.01901,+2.15%,$37.81 M,$1.38 B
ApeCoin,APE,$3.19,+12.22%,$151.17 M,$1.18 B
The Graph,GRT,$0.1199,+5.76%,$41.83 M,$1.08 B
Pax Dollar,USDP,$0.9989,-0.04%,$7.84 M,$1.01 B
Frax,FRAX,$1.00,+0.32%,$8.88 M,$1 B
The Sandbox,SAND,$0.5399,+3.89%,$220.1 M,$1 B
Algorand,ALGO,$0.1378,-0.15%,$50.61 M,$998.73 M
Optimism,OP,$1.49,+10.66%,$263.54 M,$958.72 M
EOS,EOS,$0.8833,+5.83%,$114.66 M,$965.59 M
Wrapped EOS,WEOS,$0.8786,+4.39%,$719,$960.47 M
MultiversX,EGLD,$37.05,+3.78%,$14.88 M,$945.73 M
Rocket Pool,RPL,$48.94,+2.88%,$7.83 M,$949.42 M
BitDAO,BIT,$0.4939,+2.88%,$3.92 M,$910.58 M
Aave,AAVE,$62.51,+5.68%,$42.23 M,$901.52 M
Render Token,RNDR,$2.44,+5.67%,$230.74 M,$893.7 M
Decentraland,MANA,$0.468,+2.68%,$133.45 M,$878.97 M
Fantom,FTM,$0.3064,+5.99%,$92.54 M,$855.29 M
Tezos,XTZ,$0.8841,+3.50%,$16.05 M,$831.45 M
Stacks,STX,$0.5913,+8.53%,$101.47 M,$817.92 M
Theta Network,THETA,$0.8077,+4.62%,$8.42 M,$807.7 M
Axie Infinity,AXS,$6.79,+2.08%,$53.07 M,$793.97 M
USDD,USDD,$1.00,+0.26%,$12.55 M,$749.57 M
Radix,XRD,$0.07033,+6.99%,$3.22 M,$716.33 M
Conflux,CFX,$0.2478,+11.86%,$124.24 M,$714.86 M
Flow,FLOW,$0.676,+2.48%,$24.32 M,$700.48 M
WhiteBIT Token,WBT,$4.85,+1.36%,$14.47 M,$699.25 M
KuCoin Token,KCS,$7.17,+1.26%,$1.8 M,$693.99 M
Immutable X,IMX,$0.757,+4.04%,$24.32 M,$692.05 M
Neo,NEO,$9.68,+4.95%,$45.77 M,$682.93 M
Chiliz,CHZ,$0.09512,+0.92%,$37.21 M,$666.82 M
Bitget Token,BGB,$0.4722,+1.97%,$17.2 M,$661.11 M
Curve DAO Token,CRV,$0.7971,+2.68%,$44.91 M,$650.79 M
Maker,MKR,$655.90,+0.05%,$16.37 M,$641.23 M
TNC Coin,TNC,$0.1073,+0.57%,"$74,868",$627.93 M
Kava,KAVA,$1.09,+12.06%,$132.9 M,$605.18 M
Synthetix,SNX,$2.32,+3.04%,$28.23 M,$606.97 M
Bitcoin SV,BSV,$31.18,+2.27%,$23.44 M,$600.63 M
Injective,INJ,$7.45,+3.06%,$59.14 M,$595.85 M
Luna Classic,LUNC,$0.0000997,+10.14%,$134.2 M,$583.87 M
Gemini Dollar,GUSD,$0.9988,+0.90%,"$412,301",$569.18 M
Klaytn,KLAY,$0.1797,+3.60%,$16.41 M,$556.93 M
BitTorrent (Old),BTTOLD,$0.0005518,+1.12%,"$193,966",$546.32 M
Wrapped Kava,WKAVA,$1.08,+7.65%,"$3,554",$537.99 M
IOTA,MIOTA,$0.1878,+1.02%,$11.13 M,$522.09 M
BitTorrent,BTT,$0.0000005469,-1.72%,$18.14 M,$520.34 M
PAX Gold,PAXG,"$1,941.47",+0.01%,$23.46 M,$512.3 M
Sui,SUI,$0.842,+4.02%,$202.53 M,$508.63 M
Casper,CSPR,$0.04581,+9.61%,$8.75 M,$507.72 M
Tokenize Xchange,TKX,$6.32,+3.14%,N/A,$505.56 M
Zcash,ZEC,$30.27,+3.14%,$22.17 M,$494.28 M
Tether Gold,XAUT,"$1,957.82",-0.53%,$5.37 M,$482.65 M
GMX,GMX,$54.15,+3.98%,$25.17 M,$474.93 M
Mina,MINA,$0.519,+2.46%,$10.14 M,$473.77 M
Pepe,PEPE,$0.000001242,+21.36%,$250.67 M,$486.73 M
Huobi Token,HT,$2.89,+1.79%,$10.18 M,$468.54 M
eCash,XEC,$0.00002379,+3.42%,$4.29 M,$461.74 M
XDC Network,XDC,$0.03341,+0.04%,$2.92 M,$462.37 M
Frax Share,FXS,$6.36,+2.71%,$13.47 M,$459.31 M
Dash,DASH,$40.13,+3.28%,$57.26 M,$453.95 M
Decentral Games ICE,ICE,$0.005123,-0.96%,"$14,542",$2.21 M
GateToken,GT,$4.23,+5.45%,$1.28 M,$413.81 M
Trust Wallet Token,TWT,$0.9898,+2.77%,$22.27 M,$412.42 M
WOO Network,WOO,$0.2221,+4.89%,$13.96 M,$377.19 M
THORChain,RUNE,$1.12,+4.47%,$21.12 M,$372.86 M
Nexo,NEXO,$0.6578,+2.97%,$5.61 M,$368.37 M
Mask Network,MASK,$4.31,+8.39%,$117.85 M,$354.22 M
Loopring,LRC,$0.2634,+4.20%,$13.68 M,$350.69 M
Zilliqa,ZIL,$0.02194,+3.79%,$20.8 M,$348.08 M
FLARE,FLR,$0.02075,-2.70%,$6.81 M,$344.13 M
PancakeSwap,CAKE,$1.66,+6.94%,$31.93 M,$336.95 M
SingularityNET,AGIX,$0.2729,+8.20%,$49.02 M,$332.92 M
dYdX,DYDX,$2.16,+6.54%,$103.61 M,$337.2 M
MX TOKEN,MX,$3.32,+9.44%,$9.95 M,$332.36 M
Enjin Coin,ENJ,$0.325,+5.81%,$14.21 M,$324.98 M
Convex Finance,CVX,$4.05,+6.24%,$8.05 M,$315.56 M
Oasis Network,ROSE,$0.05453,+5.91%,$21.97 M,$312.22 M
1inch Network,1INCH,$0.3353,+2.23%,$33.19 M,$311.48 M
Basic Attention Token,BAT,$0.2071,+3.12%,$13.17 M,$308.35 M
USDJ,USDJ,$1.11,-0.09%,$1.09 M,$304.04 M
Gnosis,GNO,$114.59,+3.25%,$2.44 M,$296.74 M
FTX Token,FTT,$0.9083,+6.19%,$7.66 M,$298.72 M
Kaspa,KAS,$0.01541,+3.93%,$9.49 M,$292.09 M
Liquity USD,LUSD,$1.01,+0.02%,$1.06 M,$281.62 M
Floki,FLOKI,$0.00002912,+5.82%,$23.95 M,$277.5 M
Ethereum Name Service,ENS,$9.56,+3.69%,$17.72 M,$273.03 M
Osmosis,OSMO,$0.5542,+2.45%,$7.88 M,$273.01 M
NEM,XEM,$0.03021,+0.83%,$8.7 M,$271.88 M
AirCoin,AIR,$0.00000002657,-1.44%,$6,$265.69 M
Baby Doge Coin,BabyDoge,$0.000000001746,+3.70%,$4.64 M,$265.73 M
Holo,HOT,$0.00154,+4.19%,$10.03 M,$264.01 M
Qtum,QTUM,$2.50,+1.87%,$23.42 M,$261.5 M
Compound,COMP,$34.08,+5.15%,$13.33 M,$260.74 M
Chia,XCH,$34.51,+8.15%,$3.94 M,$260.07 M
Balancer,BAL,$5.14,+4.02%,$3.15 M,$255.28 M
ABBC Coin,ABBC,$0.1756,+3.54%,$21.57 M,$249.7 M
Theta Fuel,TFUEL,$0.04,+2.41%,$3.03 M,$246.51 M
Celo,CELO,$0.4958,+2.63%,$8.43 M,$248.77 M
Ravencoin,RVN,$0.01962,+3.73%,$7.58 M,$247.41 M
Ankr,ANKR,$0.02452,+3.80%,$25.89 M,$245.19 M
Beldex,BDX,$0.04569,+7.42%,$4.11 M,$243.48 M
DeFiChain,DFI,$0.3425,+3.26%,$4.63 M,$243.13 M
Ronin,RON,$1.10,+4.43%,$2.37 M,$241.89 M
tomiNet,TOMI,$5.99,+5.95%,$33.02 M,$237.29 M
Aleph Zero,AZERO,$1.04,+3.26%,$1.72 M,$239.07 M
LINK,LN,$35.25,-0.02%,"$539,312",$238.59 M
SXP,SXP,$0.4122,+3.36%,$38.02 M,$233.65 M
Audius,AUDIO,$0.2213,+1.85%,$7.64 M,$232.82 M
ONUS,ONUS,$2.30,-12.96%,"$4,309",$223.54 M
Luna,LUNA,$0.8114,+5.01%,$64.37 M,$230.72 M
Kusama,KSM,$27.06,+7.13%,$9.87 M,$229.22 M
Blur,BLUR,$0.4695,+8.76%,$40.22 M,$229.44 M
Ocean Protocol,OCEAN,$0.3636,+2.82%,$23.05 M,$222.92 M
Tether EURt,EURT,$1.08,+0.53%,$1.46 M,$221.69 M
Bitcoin Gold,BTG,$12.64,+1.80%,$1.86 M,$221.3 M
ICON,ICX,$0.2285,+4.58%,$5.91 M,$219.17 M
Arweave,AR,$6.53,+4.81%,$7.67 M,$218.06 M
ssv.network,SSV,$21.62,+7.57%,$19.18 M,$216.21 M
IoTeX,IOTX,$0.02286,+3.95%,$5.36 M,$215.95 M
JasmyCoin,JASMY,$0.004542,+6.33%,$23.12 M,$216.06 M
Decred,DCR,$14.11,+1.10%,$1.39 M,$211.71 M
Green Metaverse Token,GMT,$0.2449,+3.23%,$37.59 M,$212.41 M
Edgecoin,EDGT,$1.00,+0.02%,$18.76 M,$210.08 M
JUST,JST,$0.02351,+1.75%,$16.34 M,$209.31 M
Olympus v2,OHM,$10.65,+1.51%,"$919,754",$208.19 M
Astar,ASTR,$0.04671,+6.36%,$6.02 M,$206.59 M
Helium,HNT,$1.43,+2.79%,"$822,915",$206.54 M
yearn.finance,YFI,"$6,257.30",+5.04%,$15.8 M,$206.61 M
Threshold,T,$0.02343,+1.66%,$8.2 M,$205.96 M
MAGIC,MAGIC,$0.9428,+7.92%,$54.79 M,$204.39 M
Fetch.ai,FET,$0.2494,+5.24%,$34.99 M,$204.42 M
Golem,GLM,$0.1973,+1.15%,$2.98 M,$197.3 M
Gala,GALA,$0.02792,+6.74%,$82.28 M,$194.79 M
CoinMetro Token,XCM,$0.6415,-0.21%,$544,$193.89 M
ETHPoW,ETHW,$1.80,+6.35%,$9.09 M,$193.97 M
WEMIX,WEMIX,$0.7425,+2.07%,$3.11 M,$187.68 M
Krypton DAO,KRD,$1.87,-23.42%,"$45,391",$191.3 M
Bone ShibaSwap,BONE,$0.7968,+7.22%,$6.81 M,$183.21 M
aelf,ELF,$0.2952,+1.11%,$8.19 M,$183.5 M
Waves,WAVES,$1.63,+4.63%,$28.47 M,$182.24 M
Ontology,ONT,$0.208,+2.91%,$9.42 M,$182.01 M
Harmony,ONE,$0.01345,+5.34%,$12.1 M,$179.21 M
ECOMI,OMI,$0.0006574,+1.64%,"$666,252",$177.74 M
Alchemix USD,ALUSD,$1.04,+4.75%,N/A,$178.79 M
Moonbeam,GLMR,$0.2743,+2.81%,$3.78 M,$177.7 M
0x,ZRX,$0.209,+3.84%,$10.43 M,$177.09 M
SushiSwap,SUSHI,$0.7676,+0.15%,$20.74 M,$176.89 M
FLEX,FLEX,$1.75,+31.70%,$1 M,$172.31 M
Ordinals,ORDI,$8.26,+7.42%,$31.81 M,$173.37 M
Open Campus,EDU,$1.02,+7.11%,$100.06 M,$169.76 M
Siacoin,SC,$0.003089,+3.99%,$2.05 M,$167.8 M
WAX,WAXP,$0.05036,+2.97%,$3.02 M,$166.85 M
Illuvium,ILV,$52.76,+4.29%,$10.08 M,$168.15 M
IOST,IOST,$0.008964,+5.08%,$6.58 M,$167.71 M
Band Protocol,BAND,$1.33,+2.21%,$9.85 M,$167.88 M
Gains Farm,GFARM2,"$4,593.22",+0.01%,$991,$164.59 M
Hive,HIVE,$0.3296,+3.64%,$2.09 M,$162.97 M
Symbol,XYM,$0.02781,+0.16%,"$837,318",$160.74 M
Kadena,KDA,$0.6885,+7.31%,$3.84 M,$161.51 M
Alchemy Pay,ACH,$0.02498,+5.04%,$23.45 M,$157.79 M
LUKSO,LYXe,$9.81,+1.24%,$1.07 M,$152.75 M
Flux,FLUX,$0.4999,+4.09%,$13.72 M,$148.64 M
Biconomy,BICO,$0.2672,+7.21%,$2.14 M,$148.71 M
JOE,JOE,$0.4395,+10.17%,$33.93 M,$147.85 M
DAO Maker,DAO,$1.01,-1.34%,$4.12 M,$145.17 M
Tribe,TRIBE,$0.2819,-0.05%,"$114,325",$145.38 M
BORA,BORA,$0.1459,-0.61%,$2.37 M,$144.96 M
SKALE Network,SKL,$0.03199,+10.63%,$7.84 M,$145.09 M
Astrafer,ASTRAFER,$0.9294,+2.04%,"$33,886",$145.38 M
SafePal,SFP,$0.391,+2.20%,$8.8 M,$144.53 M
Celer Network,CELR,$0.01894,+5.70%,$7.34 M,$144.34 M
TomoChain,TOMO,$1.41,+21.05%,$40.79 M,$142.16 M
Aragon,ANT,$3.52,+5.77%,$7.54 M,$140.72 M
Nervos Network,CKB,$0.003432,+4.98%,$3.41 M,$140.68 M
Shardus,ULT,$0.3162,+18.10%,$109,$138.98 M
Gains Network,GNS,$4.46,+1.36%,$9 M,$135.78 M
Wrapped Beacon ETH,WBETH,"$1,898.95",+4.68%,$1.64 M,$136.04 M
Livepeer,LPT,$4.84,+6.46%,$5.83 M,$135.74 M
Bitkub Coin,KUB,$1.51,+3.20%,"$329,140",$134.37 M
Core DAO,CORE,$1.08,+7.18%,$29.75 M,$134.23 M
STASIS EURO,EURS,$1.07,+0.29%,$6.75 M,$133.01 M
Stargate Finance,STG,$0.6418,+4.55%,$12.3 M,$131.14 M
TerraClassicUSD,USTC,$0.01328,+4.59%,$7.93 M,$130.07 M
BinaryX,BNX,$0.4508,+4.88%,$6.69 M,$130.32 M
UMA,UMA,$1.81,+2.31%,$5.56 M,$129.67 M
Axelar,AXL,$0.4493,+7.00%,$1.63 M,$127.19 M
BiLira,TRYB,$0.04515,-0.46%,"$48,437",$126.12 M
SPACE ID,ID,$0.3907,+4.97%,$88.33 M,$126.19 M
DigiByte,DGB,$0.007716,+5.78%,$2.13 M,$125.6 M
Reserve Rights,RSR,$0.002481,+4.96%,$6.14 M,$125.51 M
Cocos-BCX,COCOS,$1.74,-0.01%,$24.49 M,$123.46 M
SwissBorg,CHSB,$0.1241,-0.53%,"$529,231",$124.09 M
ARAW,ARAW,$0.06197,"+1,706.82%",$15.9 M,$123.54 M
Cartesi,CTSI,$0.1656,+4.43%,$10.7 M,$122.05 M
FantasyGold,FGC,$0.8759,-36.43%,$37.04 M,$122.33 M
MobileCoin,MOB,$0.6057,+4.09%,"$818,738",$118.28 M
Polymath,POLY,$0.05648,-54.49%,"$571,549",$52.24 M
Wilder World,WILD,$0.4612,+2.32%,$3.01 M,$115.62 M
SafeMoon V2,SFM,$0.0002061,-0.90%,$1.11 M,$115.18 M
inSure DeFi,SURE,$0.004232,+3.80%,"$135,796",$113.38 M
Storj,STORJ,$0.2809,+3.42%,$5.4 M,$111.73 M
Dogelon Mars,ELON,$0.0000002017,+4.29%,$1.43 M,$110.85 M
Pendle,PENDLE,$0.5386,+23.66%,$1.34 M,$111.63 M
Metal,MTL,$1.62,+13.75%,$268.99 M,$107.98 M
Kyber Network Crystal v2,KNC,$0.5985,+5.35%,$5.43 M,$109.1 M
Keep Network,KEEP,$0.1154,+2.80%,"$103,128",$109.13 M
Stride,STRD,$1.31,+26.79%,"$201,392",$111.48 M
Global Currency Reserve,GCR,$1.00,+20.31%,$21.14 M,$107.13 M
API3,API3,$1.25,+8.84%,$5.47 M,$106.79 M
Lisk,LSK,$0.8158,+1.34%,$4.94 M,$105.16 M
RSK Infrastructure Framework,RIF,$0.1095,+8.17%,$3.4 M,$105.84 M
VVS Finance,VVS,$0.000002961,+1.27%,"$424,138",$104.91 M
Bitgert,BRISE,$0.0000002591,+1.50%,$3.77 M,$102.53 M
Horizen,ZEN,$7.58,+5.32%,$6.25 M,$104.31 M
Kujira,KUJI,$0.9069,+1.51%,"$482,196",$104.31 M
Liquity,LQTY,$1.11,+6.36%,$15.17 M,$102.96 M
Synapse,SYN,$0.7368,+15.57%,$48.79 M,$102.99 M
Braintrust,BTRST,$0.7083,-0.12%,"$519,677",$101.89 M
Amp,AMP,$0.002427,+3.16%,$4.02 M,$102.47 M
iExec RLC,RLC,$1.41,+3.95%,$5.72 M,$102.32 M
Telcoin,TEL,$0.001511,+7.46%,"$982,792",$101.98 M
OriginTrail,TRAC,$0.2588,+4.24%,$1.06 M,$101.85 M
NYM,NYM,$0.2176,+3.31%,"$734,078",$102.5 M
Alethea Artificial Liquid Intelligence Token,ALI,$0.02828,+7.48%,$1.56 M,$101.49 M
OMG Network,OMG,$0.7139,+6.04%,$15.67 M,$100.12 M
APENFT,NFT,$0.0000003576,+0.67%,$8.02 M,$99.07 M
BENQI Liquid Staked AVAX,SAVAX,$15.88,+5.54%,"$74,341",$99.33 M
Chromia,CHR,$0.1419,+3.42%,$12.56 M,$97.44 M
Nano,XNO,$0.7433,+6.96%,$22.16 M,$99.04 M
MetisDAO,METIS,$21.53,+2.16%,$2.18 M,$96.15 M
Pundi X (New),PUNDIX,$0.3724,+2.95%,$2.71 M,$96.27 M
Syscoin,SYS,$0.1252,+4.20%,$1.66 M,$94.04 M
 Alpha Venture DAO,ALPHA,$0.1184,+16.44%,$20.19 M,$94.45 M
Decimal,DEL,$0.02341,+1.73%,"$111,821",$92.29 M
MiL.k,MLK,$0.3235,+2.12%,$5.72 M,$92.49 M
Everscale,EVER,$0.05119,-11.02%,$3.72 M,$91.85 M
Vulcan Forged PYR,PYR,$3.40,+3.96%,$4.89 M,$92.45 M
Coin98,C98,$0.1835,+4.41%,$8.83 M,$91.65 M
Galxe,GAL,$1.22,+5.18%,$10.12 M,$90.98 M
Status,SNT,$0.0234,+4.47%,$1.51 M,$90.13 M
PlayDapp,PLA,$0.1659,+1.43%,$3.3 M,$91.06 M
Rollbit Coin,RLB,$0.02718,+9.20%,$1.08 M,$89.62 M
Ribbon Finance,RBN,$0.1692,+5.51%,"$396,179",$90.62 M
Metars Genesis,MRS,$1.43,+5.89%,"$105,444",$90.08 M
USDX [Kava],USDX,$0.7934,-3.05%,"$670,543",$88.52 M
Lido for Solana,stSOL,$22.76,+2.76%,$2.8 M,$88.79 M
NKN,NKN,$0.1157,+4.22%,$7.53 M,$87.32 M
Hashflow,HFT,$0.437,+6.00%,$13.81 M,$88.84 M
MediBloc,MED,$0.01267,+1.90%,"$712,209",$87.54 M
Numeraire,NMR,$13.93,+4.20%,$2.54 M,$87.16 M
Smooth Love Potion,SLP,$0.002078,+3.01%,$7.69 M,$87.18 M
DeXe,DEXE,$2.37,+3.74%,$1.03 M,$86.39 M
Cannation,CNNC,$34.97,-0.55%,"$1,159",$86.61 M
Radicle,RAD,$1.70,+4.39%,$8.34 M,$84.86 M
Polymesh,POLYX,$0.1302,+0.65%,$14.38 M,$85.62 M
ConstitutionDAO,PEOPLE,$0.01681,+5.40%,$12.52 M,$85.07 M
Decentralized Social,DESO,$9.49,+0.20%,"$317,369",$84.31 M
Ren,REN,$0.08425,+13.93%,$30.87 M,$84.17 M
Civic,CVC,$0.08358,+3.10%,$5.15 M,$83.58 M
Energy Web Token,EWT,$2.79,+3.86%,$1.35 M,$83.88 M
Request,REQ,$0.08396,+1.52%,"$889,176",$83.94 M
dKargo,DKA,$0.02742,-2.85%,"$956,069",$82.16 M
Magic Internet Money,MIM,$1.00,+0.54%,"$914,143",$82.55 M
AVINOC,AVINOC,$0.2117,+31.21%,"$161,729",$82.4 M
Vibing,VBG,$0.5214,+46.95%,"$11,090",$74.6 M
Ontology Gas,ONG,$0.2333,+2.18%,$1.7 M,$80.32 M
Linear,LINA,$0.01464,+2.61%,$67.92 M,$81.09 M
Wrapped NXM,WNXM,$28.09,+3.69%,$2.75 M,$81.36 M
DUST Protocol,DUST,$2.43,+9.48%,$1.21 M,$81 M
Dent,DENT,$0.0008065,+3.29%,$2.29 M,$79.85 M
Merit Circle,MC,$0.2049,+2.47%,$1.55 M,$79.48 M
Standard Tokenization Protocol,STPT,$0.04079,+2.95%,$2.26 M,$79.23 M
AGORIC,BLD,$0.1449,+1.95%,"$572,573",$79.19 M
Radiant Capital,RDNT,$0.2978,+9.85%,$31.81 M,$78.58 M
Secret,SCRT,$0.3684,+7.14%,$1.72 M,$77.76 M
Steem,STEEM,$0.1786,+0.16%,$2.73 M,$77.82 M
CANTO,CANTO,$0.158,+2.13%,"$722,751",$77.71 M
Prometeus,PROM,$4.25,+4.02%,$2.74 M,$77.62 M
Humanscape,HUM,$0.08499,-6.00%,"$1,757",$77.63 M
Ergo,ERG,$1.32,+2.19%,"$340,435",$77.25 M
XPLA,XPLA,$0.3559,-1.92%,"$78,131",$77.08 M
Humans.ai,HEART,$0.01914,+15.37%,"$728,709",$74.78 M
Vega Protocol,VEGA,$1.52,-3.57%,"$714,332",$76.74 M
Gitcoin,GTC,$1.22,+2.48%,$4.25 M,$75.46 M
COTI,COTI,$0.06279,+2.11%,$4.47 M,$75.65 M
Orbs,ORBS,$0.02365,-0.27%,$1.04 M,$74.92 M
MOBOX,MBOX,$0.3789,+4.33%,$4.77 M,$74.49 M
Locus Chain,LOCUS,$0.03546,-2.45%,"$342,124",$73.8 M
Dero,DERO,$5.50,+3.78%,"$88,464",$74.8 M
Akash Network,AKT,$0.6464,+7.20%,$1.74 M,$73.6 M
Centrifuge,CFG,$0.2032,+1.47%,"$260,819",$73.2 M
MVL,MVL,$0.003045,+0.71%,$1.5 M,$70.49 M
VeThor Token,VTHO,$0.001143,+3.01%,"$772,858",$72.38 M
Ardor,ARDR,$0.07222,+2.59%,$1.81 M,$72.15 M
Powerledger,POWR,$0.1468,+2.29%,$2.16 M,$70.5 M
Escroco Emerald,ESCE,$0.07076,-9.81%,$329,$70.76 M
Covalent,CQT,$0.1215,+0.86%,$1.12 M,$69.6 M
WINkLink,WIN,$0.0000724,+1.73%,$5.5 M,$69.63 M
Ecoin official,ECOIN,$0.00015,-0.02%,$36,$69.18 M
Augur,REP,$6.21,+2.03%,$2.25 M,$68.29 M
Stratis,STRAX,$0.4513,+4.03%,$2.1 M,$67.64 M
ARPA Chain,ARPA,$0.0545,+5.03%,$39.65 M,$67.74 M
Tenset,10SET,$0.3944,+4.35%,"$24,675",$67.93 M
Songbird,SGB,$0.005933,-2.45%,"$975,453",$68.06 M
LooksRare,LOOKS,$0.08073,+6.66%,$2.69 M,$67.36 M
Phala Network,PHA,$0.1183,+2.43%,$2.73 M,$67.41 M
Marlin,POND,$0.00829,+4.81%,$3.1 M,$67.04 M
Hooked Protocol,HOOK,$1.34,+5.78%,$14.19 M,$66.81 M
bZx Protocol,BZRX,$0.1029,-0.02%,N/A,$66.34 M
Highstreet,HIGH,$1.81,+2.64%,$46.1 M,$66.54 M
Venus,XVS,$4.43,+3.02%,$3.76 M,$66.11 M
XSGD,XSGD,$0.7429,+0.50%,"$880,241",$65.67 M
Ultra,UOS,$0.1924,+3.37%,$1.26 M,$64.95 M
Morpheus.Network,MNW,$1.40,+6.71%,"$239,435",$65.83 M
CertiK,CTK,$0.7037,+2.99%,$2.5 M,$64.76 M
Creditcoin,CTC,$0.2898,+4.13%,$17.57 M,$64.77 M
Beta Finance,BETA,$0.09431,+4.70%,$3.72 M,$63.87 M
Function X,FX,$0.1561,+2.66%,"$334,126",$63.78 M
Bancor,BNT,$0.4059,+4.16%,$2.42 M,$63.5 M
Oasys,OAS,$0.07609,-2.84%,$1.37 M,$62.88 M
Evmos,EVMOS,$0.1198,+5.93%,"$794,748",$62.09 M
ankrETH,aETHc,"$2,111.44",+4.80%,"$112,578",$61.93 M
XIDO FINANCE,XIDO,$2.23,+4.95%,"$14,041",$63.12 M
Orchid,OXT,$0.0629,+2.20%,"$845,410",$60.55 M
Stader MaticX,MATICX,$0.8844,-0.70%,"$478,837",$60.37 M
cVault.finance,CORE,"$5,935.70",+3.95%,"$6,188",$59.36 M
World Mobile Token,WMT,$0.1404,+0.56%,"$580,855",$59.42 M
Mdex,MDX,$0.0623,-0.61%,$2.12 M,$59.2 M
Multichain,MULTI,$4.00,-0.59%,$18.21 M,$58.22 M
Everipedia,IQ,$0.004648,+4.39%,$17.09 M,$58.2 M
Spell Token,SPELL,$0.000545,+3.89%,$5.6 M,$58.54 M
Dusk Network,DUSK,$0.1387,+4.20%,$4.83 M,$58.4 M
Hxro,HXRO,$0.0955,-1.29%,"$3,823",$57.96 M
Clash of Lilliput,COL,$0.7081,+5.78%,"$193,835",$58.11 M
Aura Finance,AURA,$1.90,+9.49%,"$434,955",$58 M
MyNeighborAlice,ALICE,$1.19,+5.25%,$14.17 M,$57.18 M
SuperFarm,SUPER,$0.1398,+4.66%,$3.93 M,$56.84 M
QuarkChain,QKC,$0.00863,+1.77%,$13.06 M,$55.23 M
Sun (New),SUN,$0.005904,+2.02%,$7.72 M,$55.95 M
CEEK VR,CEEK,$0.06982,-1.16%,$18.43 M,$56.26 M
Vai,VAI,$0.962,-0.43%,"$39,659",$55.32 M
Hifi Finance,MFT,$0.005517,-0.02%,"$39,527",$55.17 M
VitaDAO,VITA,$2.33,+4.65%,"$105,851",$55.44 M
Concordium,CCD,$0.008055,-1.13%,"$610,815",$55.07 M
Telos,TLOS,$0.202,-4.65%,$1.63 M,$54.57 M
NuCypher,NU,$0.07704,-1.49%,"$2,534",$54.16 M
Bifrost (BFC),BFC,$0.04942,+1.92%,"$374,610",$53.79 M
USD+,USD+,$1.00,+0.14%,$1.67 M,$53.59 M
